viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Components/Chart,Line Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Line Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Bar Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Bar Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Pie Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Pie Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Doughnut Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Doughnut Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Radar Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Radar Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Scatter Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Scatter Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Polar Area Chart,light,role-img-alt,,1200,1200
1200,Components/Chart,Polar Area Chart,dark,role-img-alt,,1200,1200
1200,Components/Chart,Stacked Bar,light,role-img-alt,,1200,1200
1200,Components/Chart,Stacked Bar,dark,role-img-alt,,1200,1200
1200,Components/Chart,Horizontal Bar,light,role-img-alt,,1200,1200
1200,Components/Chart,Horizontal Bar,dark,role-img-alt,,1200,1200
1200,Components/Chip,Input Chip,light,,,1200,1200
1200,Components/Chip,Input Chip,dark,,,1200,1200
1200,Components/Chip,Filter Chip,light,,,1200,1200
1200,Components/Chip,Filter Chip,dark,,,1200,1200
1200,Components/Chip,Disabled,light,color-contrast,,1200,1200
1200,Components/Chip,Disabled,dark,color-contrast,,1200,1200
1200,Components/Counter,Default,light,,,1200,1200
1200,Components/Counter,Default,dark,,,1200,1200
1200,Components/Counter,All Sizes,light,,,1200,1200
1200,Components/Counter,All Sizes,dark,,,1200,1200
1200,Components/Counter,All Shapes,light,,,1200,1200
1200,Components/Counter,All Shapes,dark,,,1200,1200
1200,Components/Counter,Interactive,light,,,1200,1200
1200,Components/Counter,Interactive,dark,,,1200,1200
1200,Components/Counter,With Min Max,light,,,1200,1200
1200,Components/Counter,With Min Max,dark,,,1200,1200
1200,Components/Counter,Number Counters,light,color-contrast,,1200,1200
1200,Components/Counter,Number Counters,dark,color-contrast,,1200,1200
1200,Components/DatePicker,Default,light,,,1200,1200
1200,Components/DatePicker,Default,dark,,,1200,1200
1200,Components/DatePicker,With Footer,light,,,1200,1200
1200,Components/DatePicker,With Footer,dark,,,1200,1200
1200,Components/DatePicker,Date Range,light,,,1200,1200
1200,Components/DatePicker,Date Range,dark,,,1200,1200
1200,Components/DatePicker,Year Picker,light,,,1200,1200
1200,Components/DatePicker,Year Picker,dark,,,1200,1200
1200,Components/DatePicker,Interactive,light,,,1200,1200
1200,Components/DatePicker,Interactive,dark,,,1200,1200
1200,Components/DatePicker,Interactive Range,light,,,1200,1200
1200,Components/DatePicker,Interactive Range,dark,,,1200,1200
1200,Components/DatePicker,With Min Max,light,,,1200,1200
1200,Components/DatePicker,With Min Max,dark,,,1200,1200
1200,Components/Breadcrumb,Default,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,Default,dark,,,1200,1200
1200,Components/Breadcrumb,With Icons,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,With Icons,dark,,,1200,1200
1200,Components/Breadcrumb,With Borders,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,With Borders,dark,,,1200,1200
1200,Components/Breadcrumb,Double Chevron,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,Double Chevron,dark,,,1200,1200
1200,Components/Breadcrumb,Slash,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,Slash,dark,,,1200,1200
1200,Components/Breadcrumb,With Truncation,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,With Truncation,dark,,,1200,1200
1200,Components/Breadcrumb,With Disabled,light,color-contrast,,1200,1200
1200,Components/Breadcrumb,With Disabled,dark,color-contrast,,1200,1200
1200,Components/Breadcrumb,All Separators,light,color-contrast; landmark-unique,,1200,1200
1200,Components/Breadcrumb,All Separators,dark,landmark-unique,,1200,1200
1200,Components/DropdownMenu,Default,light,,,1200,1200
1200,Components/DropdownMenu,Default,dark,color-contrast,,1200,1200
1200,Components/DropdownMenu,With Section Headers,light,,,1200,1200
1200,Components/DropdownMenu,With Section Headers,dark,color-contrast,,1200,1200
1200,Components/DropdownMenu,With Selection,light,,,1200,1200
1200,Components/DropdownMenu,With Selection,dark,color-contrast,,1200,1200
1200,Components/DropdownMenu,Avatar Trigger,light,,,1200,1200
1200,Components/DropdownMenu,Avatar Trigger,dark,,,1200,1200
1200,Components/DropdownMenu,Icon Only Trigger,light,button-name,,1200,1200
1200,Components/DropdownMenu,Icon Only Trigger,dark,button-name,,1200,1200
1200,Components/DropdownMenu,Disabled,light,,,1200,1200
1200,Components/DropdownMenu,Disabled,dark,,,1200,1200
1200,Components/DropdownMenu,Align Start,light,,,1200,1200
1200,Components/DropdownMenu,Align Start,dark,color-contrast,,1200,1200
1200,Components/Divider,Default,light,,,1200,1200
1200,Components/Divider,Default,dark,,,1200,1200
1200,Components/Divider,With Icon,light,,,1200,1200
1200,Components/Divider,With Icon,dark,,,1200,1200
1200,Components/Divider,With Label,light,color-contrast,,1200,1200
1200,Components/Divider,With Label,dark,,,1200,1200
1200,Components/Divider,With Title,light,,,1200,1200
1200,Components/Divider,With Title,dark,,,1200,1200
1200,Components/Divider,With Button,light,,,1200,1200
1200,Components/Divider,With Button,dark,,,1200,1200
1200,Components/Divider,With Title And Button,light,,,1200,1200
1200,Components/Divider,With Title And Button,dark,,,1200,1200
1200,Components/Divider,All Variants,light,color-contrast,,1200,1200
1200,Components/Divider,All Variants,dark,,,1200,1200
1200,Components/EmptyStateIllustration,All Colored,light,,,1200,1200
1200,Components/EmptyStateIllustration,All Colored,dark,,,1200,1200
1200,Components/EmptyStateIllustration,All Grey,light,,,1200,1200
1200,Components/EmptyStateIllustration,All Grey,dark,,,1200,1200
1200,Components/EmptyStateIllustration,Colored Vs Grey,light,,,1200,1200
1200,Components/EmptyStateIllustration,Colored Vs Grey,dark,,,1200,1200
